0080c4 A:0030 X:1fff Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
0080c7 A:0030 X:1fff Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
0080ca A:0030 X:1fff Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
0080cc A:00e0 X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080cf A:00e0 X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080d2 A:00e0 X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080d5 A:00e0 X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080d8 A:00e0 X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080da A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080dd A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080e0 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080e3 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080e6 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080e9 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080ec A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080ef A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080f2 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080f5 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080f8 A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080fb A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
0080fe A:00ff X:1fff Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
008101 A:00ff X:0080 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0080 Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
008106 A:00e0 X:0080 Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
008109 A:00e0 X:0080 Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
00810c A:00e0 X:0080 Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
00810f A:00e0 X:0080 Y:0000 S:1fff D:0000 DB:00 NvMxdIzC 
008110 A:00e0 X:007f Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:007f Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:007f Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:007f Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:007f Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:007f Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:007e Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:007e Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:007e Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:007e Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:007e Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:007e Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:007d Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:007d Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:007d Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:007d Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:007d Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:007d Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:007c Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:007c Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:007c Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:007c Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:007c Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:007c Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:007b Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:007b Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:007b Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:007b Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:007b Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:007b Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:007a Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:007a Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:007a Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:007a Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:007a Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:007a Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0079 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0079 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0079 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0079 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0079 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0079 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0078 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0078 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0078 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0078 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0078 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0078 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0077 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0077 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0077 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0077 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0077 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0077 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0076 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0076 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0076 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0076 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0076 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0076 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0075 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0075 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0075 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0075 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0075 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0075 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0074 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0074 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0074 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0074 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0074 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0074 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0073 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0073 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0073 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0073 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0073 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0073 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0072 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0072 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0072 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008109 A:00e0 X:0072 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810c A:00e0 X:0072 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
00810f A:00e0 X:0072 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008110 A:00e0 X:0071 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008103 A:00e0 X:0071 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
008106 A:00e0 X:0071 Y:0000 S:1fff D:0000 DB:00 nvMxdIzC 
